                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.5808,                0.86853,                0.89858,                 0.6603,                0.63362,                 0.6382,                0.31449,                 1.6486,                0.97616,                 1.0107,              0.0003962,              0.0003962,              0.0003962
                     84,                  1.571,                0.89123,                0.91452,                0.65382,                0.62069,                0.62364,                0.31017,                 1.6678,                0.97803,                 1.0152,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.5948,                0.87906,                0.90836,                 0.6537,                0.62651,                0.63175,                0.30882,                 1.6859,                0.96225,                 1.0159,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.5742,                0.86457,                0.89737,                0.65253,                0.61638,                 0.6322,                0.31014,                  1.687,                0.94287,                 1.0134,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.4958,                0.85466,                0.91037,                 0.6801,                0.62069,                0.65287,                0.31344,                  1.695,                0.93602,                 1.0203,               0.000317,               0.000317,               0.000317
                     88,                 1.5346,                0.86694,                0.90292,                0.69583,                0.60776,                0.64648,                 0.3085,                 1.6973,                0.93443,                 1.0192,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.6004,                0.90796,                0.89142,                0.65464,                0.61277,                0.64331,                0.30533,                 1.7071,                0.94008,                 1.0218,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.4496,                0.86033,                0.91121,                0.68492,                  0.625,                0.65474,                0.30634,                 1.7116,                0.93866,                 1.0252,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.5195,                0.91181,                0.91426,                0.70594,                0.61207,                0.65236,                0.30758,                 1.7117,                 0.9288,                 1.0289,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.4835,                0.88977,                0.91762,                0.69389,                0.62069,                0.65158,                0.30675,                 1.7162,                0.91935,                 1.0308,               0.000218,               0.000218,               0.000218
                     93,                 1.4151,                0.81439,                0.91598,                0.68337,                0.60776,                0.65063,                0.30312,                 1.7255,                0.92303,                 1.0326,              0.0001982,              0.0001982,              0.0001982
                     94,                  1.516,                0.83879,                0.93687,                0.65539,                0.60662,                0.65034,                0.30744,                 1.7258,                0.93129,                 1.0306,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.4393,                0.84027,                0.92459,                0.65281,                0.59914,                0.64909,                 0.3108,                 1.7172,                 0.9385,                 1.0273,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.4911,                0.84917,                0.91936,                0.71272,                0.57747,                0.66604,                0.31419,                 1.7148,                0.94579,                 1.0263,              0.0001388,              0.0001388,              0.0001388
                     97,                  1.523,                0.87117,                0.92417,                0.66534,                0.59914,                 0.6632,                 0.3124,                 1.7206,                0.95121,                 1.0278,               0.000119,               0.000119,               0.000119
                     98,                 1.4067,                0.81638,                0.90039,                0.63783,                0.64655,                0.66482,                0.31121,                 1.7259,                0.95034,                 1.0295,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                   1.49,                0.87075,                0.91007,                0.63213,                0.64655,                0.66806,                0.31665,                 1.7264,                0.94073,                 1.0298,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.4925,                0.84061,                0.90628,                0.63299,                0.63793,                0.66052,                0.31603,                 1.7153,                 0.9304,                 1.0274,               5.96e-05,               5.96e-05,               5.96e-05
